X,Y,Type,Date,Descriptions,PLN_AREA_C,PLN_AREA_N,REGION_C,REGION_N,RoadType
20304.9612001771,34224.8200291295,Accident,5/2/2018,Accident on Clementi Avenue 6 (towards Clementi Loop) after Commonwealth Avenue West. Avoid left lane.,CL,CLEMENTI,WR,WEST REGION,non_expressway
23512.3689248516,36824.8979641636,Accident,5/2/2018,Accident on BKE (towards PIE) at PIE(Tuas) Exit.,BT,BUKIT TIMAH,CR,CENTRAL REGION,expressway
24726.0303656125,35974.7890043626,Accident,4/2/2018,Accident on PIE (towards Tuas) after Eng Neo Ave with congestion till Eng Neo Ave. Avoid lanes 2 and 3.,BT,BUKIT TIMAH,CR,CENTRAL REGION,expressway
34393.7040122509,33904.422043252,Accident,4/2/2018,Accident on PIE (towards Changi Airport) after Paya Lebar Rd with congestion till Paya Lebar Rd. Avoid lane 1.,GL,GEYLANG,CR,CENTRAL REGION,expressway
30802.1007469736,28951.6799701912,Accident,4/2/2018,Accident on Sheares Avenue near Marina Boulevard/Sheares Avenue Junction.,MS,MARINA SOUTH,CR,CENTRAL REGION,non_expressway
29016.2445135098,31570.4799920782,Accident,4/2/2018,Accident in CTE Tunnel (towards SLE) before Kramat Rd Entrance. Avoid lane 3.,OR,ORCHARD,CR,CENTRAL REGION,expressway
9861.98053278355,33819.9609860235,Accident,3/2/2018,Accident on AYE (towards MCE) after PIE Entrance.,PN,PIONEER,WR,WEST REGION,expressway
33057.7175211459,33564.6799514041,Accident,3/2/2018,Accident on PIE (towards Tuas) after KPE Exit with congestion till Jalan Eunos. Avoid lane 2.,GL,GEYLANG,CR,CENTRAL REGION,expressway
21580.3162666716,31572.3690216184,Accident,3/2/2018,Accident on AYE (towards MCE) after Clementi Rd Exit with congestion till Clementi Ave 6 Exit. Avoid lane 1.,QT,QUEENSTOWN,CR,CENTRAL REGION,expressway
37934.8061540751,40088.8520094946,Accident,3/2/2018,"Accident on TPE (towards PIE) after KPE Exit with congestion till Punggol Rd Exit. Avoid lanes 1, 2 and 4.",PL,PAYA LEBAR,ER,EAST REGION,expressway
24943.2146180442,43988.1479523735,Accident,3/2/2018,Accident on SLE (towards CTE) after Mandai Ave Exit.,CC,CENTRAL WATER CATCHMENT,NR,NORTH REGION,expressway
22468.2684285967,46348.440984517,Accident,3/2/2018,Accident on Woodlands Avenue 3 (towards Woodlands Checkpoint) after Woodlands Centre Road. Avoid right lane.,WD,WOODLANDS,NR,NORTH REGION,non_expressway
32856.4602035476,33572.6210446488,Accident,3/2/2018,Accident on PIE (towards Tuas) after KPE Exit with congestion till Jalan Eunos. Avoid lanes 1 and 2.,GL,GEYLANG,CR,CENTRAL REGION,expressway
34563.1810855398,33243.1720497892,Accident,3/2/2018,Accident at Paya Lebar Road/Sims Avenue Junction with congestion on Paya Lebar Road.,GL,GEYLANG,CR,CENTRAL REGION,expressway
26983.3591623659,34524.1210029524,Accident,3/2/2018,Accident on PIE (towards Tuas) after Stevens Rd Exit with congestion till Thomson Rd Exit. Avoid lane 4.,NV,NOVENA,CR,CENTRAL REGION,expressway
21149.5256036982,31806.2300026722,Accident,3/2/2018,Accident on AYE (towards MCE) after Clementi Ave 2 Exit with congestion till Clementi Ave 2 Exit. Avoid lanes 3 and 4.,QT,QUEENSTOWN,CR,CENTRAL REGION,expressway
23592.4061155084,36717.0389994417,Accident,3/2/2018,Accident on BKE (towards PIE) at PIE(Tuas) Exit.,BT,BUKIT TIMAH,CR,CENTRAL REGION,expressway
21870.5713922253,39377.319981383,Accident,3/2/2018,Accident on BKE (towards PIE) at Bukit Panjang Rd Entrance.,CC,CENTRAL WATER CATCHMENT,NR,NORTH REGION,expressway
21904.3329488098,35795.1719790797,Accident,3/2/2018,Accident on PIE (towards Tuas) after Clementi Rd Exit. Avoid lane 4.,BT,BUKIT TIMAH,CR,CENTRAL REGION,expressway
23638.5153359747,36855.3979932517,Accident,3/2/2018,Accident on PIE (towards Changi Airport) after BKE. Avoid lane 1.,CC,CENTRAL WATER CATCHMENT,NR,NORTH REGION,expressway
44440.4645316753,35705.5310452832,Accident,2/2/2018,Accident on ECP (towards City) at PIE Exit.,CH,CHANGI,ER,EAST REGION,expressway
23150.1289610757,37119.109034906,Accident,2/2/2018,Accident on BKE (towards Woodlands) after PIE Entrance.,CC,CENTRAL WATER CATCHMENT,NR,NORTH REGION,expressway
26903.887372494,34582.9609637944,Accident,2/2/2018,Accident on PIE (towards Changi Airport) after Lornie Rd with congestion till Lornie Rd. Avoid lane 1.,NV,NOVENA,CR,CENTRAL REGION,expressway
23702.9942737244,44932.8980155374,Accident,2/2/2018,Accident on SLE (towards BKE) after Woodlands Ave 12 Exit. Avoid lane 2.,MD,MANDAI,NR,NORTH REGION,expressway
24659.306158683,44293.1479723529,Accident,2/2/2018,Accident on SLE (towards CTE) before Mandai Ave Exit with congestion till Woodlands Ave 12 Exit. Avoid lane 1.,MD,MANDAI,NR,NORTH REGION,expressway
24863.7355450807,44092.3519889417,Accident,2/2/2018,Accident on SLE (towards BKE) before Mandai Rd Exit.,MD,MANDAI,NR,NORTH REGION,expressway
23068.9339883167,37189.9609472091,Accident,2/2/2018,Accident on BKE (towards Woodlands) after PIE Entrance. Avoid lane 1.,BP,BUKIT PANJANG,WR,WEST REGION,expressway
25719.0567522422,35131.269946817,Accident,2/2/2018,Accident on PIE (towards Changi Airport) before Lornie Rd. Avoid lane 1.,BT,BUKIT TIMAH,CR,CENTRAL REGION,expressway
19059.1849903347,35708.8710302139,Accident,2/2/2018,Accident on PIE (towards Tuas) before Toh Guan Rd Exit with congestion till Clementi Ave 6 Exit. Avoid lane 3.,BK,BUKIT BATOK,WR,WEST REGION,expressway
21499.2532190145,40932.4610203172,Accident,2/2/2018,Accident on BKE (towards Woodlands) before KJE Exit. Avoid lane 1.,BP,BUKIT PANJANG,WR,WEST REGION,expressway
30870.5873020354,28092.8569543019,Accident,2/2/2018,Accident on MCE (towards ECP) before Central Blvd Exit. Avoid lane 2.,SV,STRAITS VIEW,CR,CENTRAL REGION,expressway
19490.9833632739,33407.1409840491,Accident,2/2/2018,Accident on AYE (towards MCE) before Clementi Ave 6 Exit.,CL,CLEMENTI,WR,WEST REGION,expressway
26349.9133002756,27682.5390490074,Accident,2/2/2018,Accident on West Coast Highway (towards City) at W Coast Hwy Flyover. Avoid right lane.,BM,BUKIT MERAH,CR,CENTRAL REGION,non_expressway
36736.7629811044,34551.1989857304,Accident,2/2/2018,Accident on PIE (towards Tuas) after Bedok North Rd.,BD,BEDOK,ER,EAST REGION,expressway
39823.8256704694,39318.4409927375,Accident,2/2/2018,Accident on TPE (towards SLE) after Tampines Rd Exit with congestion till Tampines Ave 7 Exit.,TM,TAMPINES,ER,EAST REGION,expressway
18457.603369096,33914.5699926314,Accident,2/2/2018,Accident on AYE (towards MCE) after Jurong Town Hall Exit with congestion till Yuan Ching Entrance. Avoid lane 3.,JE,JURONG EAST,WR,WEST REGION,expressway
29727.4048677327,42044.6989718693,Accident,2/2/2018,Accident on SLE (towards CTE) before TPE Exit with congestion till Lentor Ave Exit.,AM,ANG MO KIO,NER,NORTH-EAST REGION,expressway
44167.4442848376,35216.6089706624,Accident,2/2/2018,Accident on ECP (towards Changi Airport) before PIE Exit. Avoid lane 3.,TM,TAMPINES,ER,EAST REGION,expressway
41040.7683233933,38693.737953455,Accident,2/2/2018,Accident on TPE (towards PIE) after Pasir Ris Dr 8 Exit with congestion till Pasir Ris Dr 12 Exit.,PR,PASIR RIS,ER,EAST REGION,expressway
32881.5678671854,33538.6989873626,Accident,2/2/2018,Accident on PIE (towards Tuas) at KPE(ECP) Exit.,GL,GEYLANG,CR,CENTRAL REGION,expressway
37297.3786807458,40561.5119625962,Accident,2/2/2018,Accident on TPE (towards PIE) after KPE Exit. Avoid lane 1.,PR,PASIR RIS,ER,EAST REGION,expressway
37287.0732016674,40569.0899711555,Accident,2/2/2018,Accident on TPE (towards PIE) after KPE Exit with congestion till Punggol Rd Exit.,PR,PASIR RIS,ER,EAST REGION,expressway
24106.949118034,36632.2190531579,Accident,2/2/2018,Accident on PIE (towards Changi Airport) before Eng Neo Ave. Avoid lane 1.,CC,CENTRAL WATER CATCHMENT,NR,NORTH REGION,expressway
24103.3099046418,36627.6720439795,Accident,2/2/2018,Accident on PIE (towards Tuas) before BKE. Avoid lane 1.,BT,BUKIT TIMAH,CR,CENTRAL REGION,expressway
21081.7700235546,44683.1480396972,Accident,2/2/2018,Accident on SLE (towards BKE) at BKE(Woodlands) Exit.,SK,SUNGEI KADUT,NR,NORTH REGION,expressway
42935.4188728445,36482.378977448,Accident,1/2/2018,Accident on PIE (towards Changi Airport) after TPE. Avoid lane 3.,CH,CHANGI,ER,EAST REGION,expressway
30854.8634717624,36629.5309547608,Accident,1/2/2018,Accident on CTE (towards AYE) before PIE(Changi) Exit.,SG,SERANGOON,NER,NORTH-EAST REGION,expressway
30970.7410574853,36304.0700171265,Accident,1/2/2018,Accident on CTE (towards AYE) after PIE(Changi) Exit. Avoid lane 4.,SG,SERANGOON,NER,NORTH-EAST REGION,expressway
35482.2163990136,31180.2210513987,Accident,1/2/2018,Accident on ECP (towards Changi Airport) after Tg Katong Rd Exit.,MP,MARINE PARADE,CR,CENTRAL REGION,expressway
9263.44547768298,33768.3090474628,Accident,1/2/2018,Accident on AYE (towards Tuas) at PIE Exit.,PN,PIONEER,WR,WEST REGION,expressway
30420.9075531987,33645.9879824999,Accident,1/2/2018,Accident on CTE (towards SLE) after Moulmein Rd Exit. Avoid lane 4.,KL,KALLANG,CR,CENTRAL REGION,expressway
42957.2668965594,36447.1990236405,Accident,1/2/2018,Accident on PIE (towards Changi Airport) after TPE.,CH,CHANGI,ER,EAST REGION,expressway
21076.0186059611,31832.8199907664,Accident,1/2/2018,Accident on AYE (towards Tuas) before Clementi Ave 2 Exit with congestion till Buona Vista exit. Avoid lanes 2 and 3.,QT,QUEENSTOWN,CR,CENTRAL REGION,expressway
