X,Y,Type,Latitude,Longitude,Date,Time,Descriptio,PLN_AREA_N,PLN_AREA_C,REGION_N,REGION_C,RoadType,join_osm_i,join_name,join_ref,join_type,join_onewa,join_bridg,join_maxsp,distance
36201.8275467181,41785.8089669615,Heavy Traffic,1.39417,103.90702,21/2/2018,6:07:00 PM,Heavy Traffic on TPE (towards SLE) between Tampines Rd Exit and Punggol Rd Exit.,SENGKANG,SE,NORTH-EAST REGION,NER,expressway,479744509,Tampines Expressway,TPE,motorway,1,0,90,6.907481673388057
18779.2851906119,33845.1800060329,Heavy Traffic,1.32236,103.75047,21/2/2018,5:46:00 PM,Heavy Traffic on AYE (towards MCE) between Jurong Town Hall Exit and Jurong Town Hall Entrance.,JURONG EAST,JE,WEST REGION,WR,expressway,75044382,Ayer Rajah Expressway,AYE,motorway,1,0,90,3.431490425878728
24504.0620437532,29614.9099456938,Heavy Traffic,1.28410,103.80191,21/2/2018,5:20:00 PM,Heavy Traffic on AYE (towards MCE) after Alexandra Rd Exit.,BUKIT MERAH,BM,CENTRAL REGION,CR,expressway,480749321,Ayer Rajah Expressway,AYE,motorway,1,0,90,4.084592757949872
23671.9842934088,30014.9199776503,Heavy Traffic,1.28772,103.79443,21/2/2018,8:23:00 AM,Heavy Traffic on AYE (towards Tuas) at Normanton Park Exit.,QUEENSTOWN,QT,CENTRAL REGION,CR,expressway,44584659,Normanton Park,Exit 7A,motorway_link,1,0,50,2.016871592194898
13850.9283037245,38293.2619684289,Heavy Traffic,1.36258,103.70618,21/2/2018,8:02:00 AM,Heavy Traffic on PIE (towards Tuas) between Jurong West Ave 2 and KJE.,JURONG WEST,JW,WEST REGION,WR,expressway,479561517,Pan-Island Expressway,PIE,motorway,1,0,90,5.056425088594382
14257.0642311811,38721.1290221155,Heavy Traffic,1.36645,103.70983,21/2/2018,7:43:00 AM,Heavy Traffic on KJE (towards PIE) between PIE(Changi) Exit and PIE(Tuas) Exit.,TENGAH,TH,WEST REGION,WR,expressway,536096908,,,motorway_link,1,0,90,7.230368312749087
27415.1407869558,34325.7810418727,Heavy Traffic,1.32670,103.82806,21/2/2018,7:20:00 AM,Heavy Traffic on PIE (towards Changi Airport) between Eng Neo Ave and Stevens Rd Exit.,NOVENA,NV,CENTRAL REGION,CR,expressway,479181644,Pan-Island Expressway,PIE,motorway,1,0,80,5.395898181941596
9312.90853366717,34178.8279511272,Heavy Traffic,1.32537,103.66541,21/2/2018,7:16:00 AM,Heavy Traffic on PIE (towards Tuas) at AYE Exit.,PIONEER,PN,WEST REGION,WR,expressway,428897151,Upper Jurong Road,,motorway_link,1,0,,4.883168293266234
25820.4747922527,35117.7190529582,Heavy Traffic,1.33387,103.81373,21/2/2018,7:10:00 AM,Heavy Traffic on PIE (towards Changi Airport) at Lornie Rd Exit.,BUKIT TIMAH,BT,CENTRAL REGION,CR,expressway,123220700,,,motorway_link,1,0,,6.667545957631409
31004.1054428412,36310.7380501733,Heavy Traffic,1.34466,103.86031,21/2/2018,7:10:00 AM,Heavy Traffic on CTE (towards AYE) at Braddell Rd Exit.,SERANGOON,SG,NORTH-EAST REGION,NER,expressway,22321383,Lorong Chuan,,motorway_link,1,0,,2.179465583397892
29885.0919209945,33377.8399793021,Heavy Traffic,1.31813,103.85026,20/2/2018,7:00:00 PM,Heavy Traffic on CTE (towards SLE) at Moulmein Rd Exit.,NOVENA,NV,CENTRAL REGION,CR,expressway,45249372,Moulmein Road,Exit 7A,motorway_link,1,0,,2.646882651520940
34706.4257611727,42500.8519667493,Heavy Traffic,1.40064,103.89358,20/2/2018,6:31:00 PM,Heavy Traffic on TPE (towards PIE) at Sengkang Exit.,PUNGGOL,PG,NORTH-EAST REGION,NER,expressway,32776720,Punggol West Interchange,,motorway_link,1,0,,1.750784650349488
