X,Y,Type,Date,Dscrptn,PLN_AREA_C,PLN_AREA_N,REGION_C,REGION_N,RoadType,join_osm_id,join_name,join_ref,join_type,join_oneway,join_bridge,join_maxspeed,distance
24529.3148773688,44407.840040918,Accident,12/2/2018,Accident on SLE (towards CTE) before Mandai Ave Exit with congestion till BKE Entrance. Avoid lane 1.,MD,MANDAI,NR,NORTH REGION,expressway,480874183,Seletar Expressway,SLE,motorway,1,0,90,4.74883582208145
21987.060960898,35593.0509980245,Accident,12/2/2018,Accident on Jalan Anak Bukit (towards City) after Jalan Jurong Kechil with congestion till Jalan Jurong Kechil. Avoid right lane.,BT,BUKIT TIMAH,CR,CENTRAL REGION,expressway,22946500,,,motorway_link,1,0,,124.837437296461
29030.6836618421,30279.551014434,Accident,12/2/2018,Accident in CTE Tunnel (towards AYE) before Havelock Exit. Avoid lanes 1 and 2.,SR,SINGAPORE RIVER,CR,CENTRAL REGION,expressway,167648618,Chin Swee Tunnel,CTE,motorway,1,0,,2.78115440332227
39823.5360305531,39324.9999633011,Accident,11/2/2018,Accident on TPE (towards PIE) before Elias Rd Exit.,PR,PASIR RIS,ER,EAST REGION,expressway,472098011,Tampines Expressway,TPE,motorway,1,0,90,6.62856147713712
39175.7640979803,35243.9609976839,Accident,11/2/2018,Accident on PIE (towards Tuas) at Bedok North Ave 3 Exit.,BD,BEDOK,ER,EAST REGION,expressway,200159353,,,motorway_link,1,0,,1.69480914170186
21391.4757027708,41539.0119633955,Accident,11/2/2018,Accident on KJE (towards BKE) at BKE(Woodlands) Exit.,SK,SUNGEI KADUT,NR,NORTH REGION,expressway,462871390,,,motorway_link,1,0,50,4.56198498484343
30828.1658955112,39738.7499632941,Accident,11/2/2018,Accident on CTE (towards AYE) after AMK Ave 5 Exit.,AM,ANG MO KIO,NER,NORTH-EAST REGION,expressway,37523734,Central Expressway,CTE,motorway,1,0,90,9.83679869818637
32850.9958769037,33571.3979905089,Accident,10/2/2018,Accident on PIE (towards Tuas) after KPE Exit. Avoid lane 1.,GL,GEYLANG,CR,CENTRAL REGION,expressway,74628616,Pan-Island Expressway,PIE,motorway,1,0,90,6.45339269266998
27782.3304575145,34254.2189915051,Accident,10/2/2018,Accident on PIE (towards Tuas) after Thomson Rd Exit. Avoid lane 3.,NV,NOVENA,CR,CENTRAL REGION,expressway,174555659,Pan-Island Expressway,PIE,motorway,1,0,80,9.96830699673061
30961.44546003,38601.6289833743,Accident,10/2/2018,Accident on CTE (towards SLE) after AMK Ave 3 Exit. Avoid lane 1.,AM,ANG MO KIO,NER,NORTH-EAST REGION,expressway,445282903,Central Expressway,CTE,motorway,1,0,90,2.87922658319137
