X,Y,Type,Date,Dscrptn,PLN_AREA_C,PLN_AREA_N,REGION_C,REGION_N,join_osm_id,join_name,Accident_Location
28495.97357,29782.65003,Accident,22/2/2018,Accident in CTE Tunnel (towards SLE) after Outram Rd Exit with congestion till AYE Entrance. Avoid lane 1.,OT,OUTRAM,CR,CENTRAL REGION,45071006,Central Expressway,CTE
29154.39752,32441.36896,Accident,20/2/2018,Accident in CTE Tunnel (towards AYE) before Cairnhill Circle Exit. Avoid lane 1.,NT,NEWTON,CR,CENTRAL REGION,15775020,Kampong Java Tunnel,CTE
30606.10047,37667.39799,Accident,18/2/2018,Accident on CTE (towards SLE) at Ang Mo Kio Ave 1 Entrance.,AM,ANG MO KIO,NER,NORTH-EAST REGION,479761056,,CTE
30782.73826,39741.10904,Accident,13/2/2018,Accident on CTE (towards SLE) at Ang Mo Kio Ave 5 Exit.,AM,ANG MO KIO,NER,NORTH-EAST REGION,296087667,,CTE
29030.68366,30279.55101,Accident,12/2/2018,Accident in CTE Tunnel (towards AYE) before Havelock Exit. Avoid lanes 1 and 2.,SR,SINGAPORE RIVER,CR,CENTRAL REGION,167648618,Chin Swee Tunnel,CTE
30828.1659,39738.74996,Accident,11/2/2018,Accident on CTE (towards AYE) after AMK Ave 5 Exit.,AM,ANG MO KIO,NER,NORTH-EAST REGION,37523734,Central Expressway,CTE
30961.44546,38601.62898,Accident,10/2/2018,Accident on CTE (towards SLE) after AMK Ave 3 Exit. Avoid lane 1.,AM,ANG MO KIO,NER,NORTH-EAST REGION,445282903,Central Expressway,CTE
30777.44676,40251.19898,Accident,10/2/2018,Accident on CTE (towards SLE) after AMK Ave 5 Exit.,AM,ANG MO KIO,NER,NORTH-EAST REGION,37523732,Central Expressway,CTE
30493.96904,33699.57001,Accident,10/2/2018,Accident on CTE (towards AYE) after Balestier Rd Exit. Avoid lane 4.,KL,KALLANG,CR,CENTRAL REGION,479299124,Central Expressway,CTE
30548.55646,33740.82002,Accident,10/2/2018,Accident on CTE (towards AYE) at Balestier Rd Exit.,KL,KALLANG,CR,CENTRAL REGION,479299124,Central Expressway,CTE
29405.23251,33018.64099,Accident,9/2/2018,Accident in CTE Tunnel (towards AYE) before Bukit Timah Rd Exit. Avoid lane 4.,KL,KALLANG,CR,CENTRAL REGION,45248305,Kampong Java Flyover,CTE
28723.44222,29926.05104,Accident,9/2/2018,Accident in CTE Tunnel (towards AYE) before Outram Rd Exit.,OT,OUTRAM,CR,CENTRAL REGION,480746656,Central Expressway,CTE
30867.89549,36621.35905,Accident,8/2/2018,Accident on CTE (towards AYE) before PIE(Changi) Exit with congestion till Yio Chu Kang Rd Exit. Avoid lane 4.,SG,SERANGOON,NER,NORTH-EAST REGION,477026785,Central Expressway,CTE
29016.24451,31570.47999,Accident,4/2/2018,Accident in CTE Tunnel (towards SLE) before Kramat Rd Entrance. Avoid lane 3.,OR,ORCHARD,CR,CENTRAL REGION,223868456,Central Expressway,CTE
30854.86347,36629.53095,Accident,1/2/2018,Accident on CTE (towards AYE) before PIE(Changi) Exit.,SG,SERANGOON,NER,NORTH-EAST REGION,174552484,Central Expressway,CTE
30970.74106,36304.07002,Accident,1/2/2018,Accident on CTE (towards AYE) after PIE(Changi) Exit. Avoid lane 4.,SG,SERANGOON,NER,NORTH-EAST REGION,37553776,Braddell Flyover,CTE
30420.90755,33645.98798,Accident,1/2/2018,Accident on CTE (towards SLE) after Moulmein Rd Exit. Avoid lane 4.,KL,KALLANG,CR,CENTRAL REGION,45249367,Moulmein Flyover,CTE
30861.54097,36614.05905,Accident,1/2/2018,Accident on CTE (towards AYE) before PIE(Changi) Exit. Avoid lanes 1 and 2.,SG,SERANGOON,NER,NORTH-EAST REGION,477026785,Central Expressway,CTE
31200.33989,35494.28897,Accident,31/1/2018,Accident on CTE (towards SLE) after Braddell Rd Exit. Avoid lane 1.,TP,TOA PAYOH,CR,CENTRAL REGION,464149350,Central Expressway,CTE
31010.89466,34233.57,Accident,31/1/2018,Accident on CTE (towards SLE) after Jalan Bahagia Exit. Avoid lane 1.,NV,NOVENA,CR,CENTRAL REGION,482108853,Central Expressway,CTE
30515.36997,33717.46896,Accident,31/1/2018,Accident on CTE (towards AYE) after Balestier Rd Exit with congestion till Braddell Rd/Lor Chuan Exit. Avoid lanes 3 and 4.,KL,KALLANG,CR,CENTRAL REGION,479299124,Central Expressway,CTE
28754.86551,31968.31996,Accident,31/1/2018,Accident in CTE Tunnel (towards AYE) before Orchard Rd Exit. Avoid lanes 2 and 3.,NT,NEWTON,CR,CENTRAL REGION,16894448,Central Expressway,CTE
30622.89618,37434.07802,Accident,28/1/2018,Accident on CTE (towards AYE) after AMK Ave 1 Exit.,SG,SERANGOON,NER,NORTH-EAST REGION,369728432,Central Expressway,CTE
30774.47269,34005.55095,Accident,28/1/2018,Accident on CTE (towards AYE) after PIE(Jurong) Exit with congestion till PIE(Jurong) Exit. Avoid lane 1.,KL,KALLANG,CR,CENTRAL REGION,167813076,Central Expressway,CTE
