X,Y,Type,Date,Time,Descriptions
33942.1513308785,38183.2809547369,Roadwork,22/2/2018,12:08:00 PM,Roadworks on Upper Serangoon Road (towards City) after Hougang Avenue 3. Avoid right lane.
35642.9736052707,34927.531050734,Roadwork,22/2/2018,12:07:00 PM,Roadworks on Eunos Link (towards Hougang) after Ubi Avenue 2. Avoid left lane.
32433.7779752783,33008.660013275,Roadwork,22/2/2018,12:01:00 PM,Roadworks on Lorong 3 Geylang (towards Upper Boon Keng Road) after Geylang Square. Avoid left lane.
21866.9939489522,35731.2190389771,Roadwork,22/2/2018,12:00:00 PM,Roadworks on PIE (towards Changi Airport) after Bukit Timah Rd exit. Avoid lane 3.
30466.7362691453,36185.0000314983,Roadwork,22/2/2018,11:55:00 AM,Roadworks on Braddell Road (towards Bartley) after Toa Payoh. Avoid left lane.
31442.6939549336,37316.8519504522,Roadwork,22/2/2018,11:55:00 AM,Roadworks on Lorong Chuan (towards Ang Mo Kio Avenue 1). Avoid left lane.
43856.8857033189,35674.077994545,Roadwork,22/2/2018,11:52:00 AM,Roadworks on PIE (towards Changi Airport) at ECP(Airport) Exit.
21036.8830148655,31603.119042775,Roadwork,22/2/2018,11:51:00 AM,Roadworks on Clementi Road (towards Kent Vale Road) after AYE. Avoid right lane.
29754.6947421285,38321.7380021828,Accident,22/2/2018,11:46:00 AM,Accident on Ang Mo Kio Avenue 1 (towards Bishan Road) after Ang Mo Kio Street 32. Avoid left lane.
31219.4230985736,34795.6019452457,Roadwork,22/2/2018,11:43:00 AM,Roadworks on CTE (towards SLE) after PIE(Changi) Exit. Avoid lane 1.
21488.9282059641,41031.0389843991,Roadwork,22/2/2018,11:42:00 AM,Roadworks on BKE (towards Woodlands) before KJE Exit.
35575.3926117072,42215.0780324468,Vehicle breakdown,22/2/2018,11:41:00 AM,Vehicle breakdown on TPE (towards SLE) after Punggol Rd Exit.
41139.0817177033,38666.9489702395,Roadwork,22/2/2018,11:40:00 AM,Roadworks on TPE (towards SLE) after Tampines Ave 7 Exit.
38048.4016474923,32756.2299849307,Roadwork,22/2/2018,11:39:00 AM,Roadworks on Siglap Road (towards East Coast Road) after Burnfoot Terrace. Avoid left lane.
42229.8750805292,36968.0779926434,Vehicle breakdown,22/2/2018,11:38:00 AM,Vehicle breakdown on PIE (towards Changi Airport) before TPE.
28384.1891792897,39952.6910283167,Roadwork,22/2/2018,11:36:00 AM,Roadworks on Ang Mo Kio Avenue 5 (towards Ang Mo Kio Avenue 2) after Ang Mo Kio Avenue 4. Avoid left lane.
40569.4249014115,38782.140987378,Roadwork,22/2/2018,11:34:00 AM,Roadworks on Tampines Avenue 12 (towards TPE). Avoid left lane.
19746.3102804299,41201.3280398153,Roadwork,22/2/2018,11:32:00 AM,Roadworks on KJE (towards PIE) at Woodlands Rd Exit.
27561.1904180773,43476.1989473051,Roadwork,22/2/2018,11:30:00 AM,Roadworks on Lentor Avenue (towards Yishun Avenue 1) after SLE. Avoid right lane.
30555.5636355919,42364.3709468609,Roadwork,22/2/2018,11:29:00 AM,Roadworks on TPE (towards SLE) at Seletar West Link Exit.
44578.1407355689,36075.3589957072,Vehicle breakdown,22/2/2018,11:27:00 AM,Vehicle breakdown on ECP (towards City) before PIE(Tuas) Exit. Avoid lane 5.
21177.9603946237,32715.7599808462,Roadwork,22/2/2018,11:26:00 AM,Roadworks on Commonwealth Avenue West (towards City) after Clementi Avenue 2. Avoid right lane.
21694.1389442699,35713.2619623219,Roadwork,22/2/2018,11:24:00 AM,Roadworks on Upper Bukit Timah Road (towards Bukit Timah Avenue) after Pei Wah Avenue. Avoid right lane.
21224.6690424332,32715.7599459066,Roadwork,22/2/2018,11:20:00 AM,Roadworks on Commonwealth Avenue West (towards Tuas) after Dover Avenue. Avoid right lane.
27132.3953373265,33544.8789546861,Roadwork,22/2/2018,11:17:00 AM,Roadworks on Stevens Road (towards Bukit Timah Road) after Robin Close. Avoid right lane.
21185.8396622345,32711.5099513363,Roadwork,22/2/2018,11:15:00 AM,Roadworks on Commonwealth Avenue West (towards Tuas) after Clementi Road. Avoid right lane.
22369.4185860294,32354.3500119345,Roadwork,22/2/2018,11:14:00 AM,Roadworks on Commonwealth Avenue West (towards Tuas) after Dover Avenue. Avoid left lane.
41918.0162769154,38349.9880349339,Vehicle breakdown,22/2/2018,11:13:00 AM,Vehicle breakdown on TPE (towards SLE) after Tampines Ave 7 Exit.
41786.1789172007,35168.3979770713,Roadwork,22/2/2018,11:13:00 AM,Roadworks on Upper Changi Road East (toward Changi) after Simei Avenue. Avoid right lane.
20284.4062052713,34631.0699972462,Roadwork,22/2/2018,11:11:00 AM,Roadworks on Clementi Avenue 6 (towards PIE) after Clementi Loop. Avoid left lane.
31144.2351883999,29906.5290523888,Roadwork,22/2/2018,11:11:00 AM,Roadworks on Sheares Avenue (towards Sheares Link) after ECP. Avoid right lane.
22492.5714792049,32284.590054048,Roadwork,22/2/2018,11:10:00 AM,Roadworks on Commonwealth Avenue West (towards Tuas) after Dover Rise. Avoid left lane.
